title,average_score,num_scores
Han Gong Ju,8.338235294117647,102
Descendants of the Sun: Recap Special,8.335820895522389,67
Family's Form,8.335616438356164,73
Last,8.335164835164836,91
Prophecy,8.333333333333334,33
"Like Father, Like Son",8.333333333333334,126
Boku no Yabai Tsuma,8.333333333333334,33
Sassy Go Go,8.332229580573951,906
Last Friends,8.330882352941176,340
Moonlight Resonance,8.329545454545455,44
Hana Yori Dango 2,8.32870022539444,1331
Black & White,8.328125,160
Red Cliff,8.326704545454545,176
Gomenne Seishun!,8.326612903225806,124
Hitsudan Hostess,8.325242718446601,103
MARS,8.323529411764707,544
My P.S. Partner,8.3215667311412,1034
Spellbound,8.321067821067821,1386
Addicted Heroin,8.320689655172414,145
Code Blue 2,8.320197044334975,203
Guilty Akuma to Keiyakushita Onna,8.316831683168317,101
The Incarnation of Money,8.316239316239317,234
Ataru,8.31496062992126,127
Kiss Me,8.314285714285715,245
"King of Baking, Kim Tak Goo",8.313031161473088,706
Chihayafuru: Shimo no Ku,8.30921052631579,76
Castaway on the Moon,8.308712121212121,264
Itazura na Kiss - Love In Tokyo 2,8.308351177730193,467
The Kingdom Of The Winds,8.308080808080808,99
Shikaku Tantei Higurashi Tabito,8.306451612903226,31
Way of the Dragon,8.306451612903226,31
Faith,8.305077805077804,1221
Woman,8.303030303030303,66
Mulan,8.30216535433071,508
Drama Special 2013: My Friend is Still Alive,8.30184331797235,217
Ho Goo's Love,8.3006993006993,429
Let's Eat,8.3,485
Unstoppable High Kick,8.3,95
W Special,8.3,50
A Day With My Son,8.296875,32
Doctor-X: Gekai Daimon Michiko,8.296296296296296,27
Love Sick: The Series,8.29559748427673,159
Ie Uru Onna,8.292682926829269,41
Punch,8.290969899665551,299
Love 911,8.290964777947933,653
Line Walker,8.289473684210526,38
Iryu Team Medical Dragon 2,8.2890625,64
Elegant Lies,8.288617886178862,123
Gantz: Perfect Answer,8.286516853932584,178
Hello Ghost,8.284722222222221,360
My Daughter Seo Young,8.284172661870503,139
New Police Story,8.281512605042018,119
The Lover,8.280045351473923,441
Raise the Red Lantern,8.278846153846153,52
Saikou no Rikon,8.278625954198473,131
Hana Yori Dango,8.278116343490305,1805
Ryusei no Kizuna,8.277777777777779,297
Wedding Dress,8.277027027027026,148
The Greatest Love,8.276614310645725,1146
Kazokugari,8.273584905660377,53
Yuusha Yoshihiko to Maou no Shiro,8.272727272727273,77
Letters from Iwo Jima,8.272727272727273,143
God's Quiz Season 4,8.270642201834862,109
Love in the Moonlight,8.26923076923077,468
Nobunaga Concerto: The Movie,8.267605633802816,71
"That Winter, The Wind Blows",8.267311608961304,982
Rinsho Hanzai Gakusha Himura Hideo no Suiri,8.267123287671232,73
The Con Artists,8.26710816777042,453
Pee Mak,8.266949152542374,118
Byakuyako,8.266666666666667,90
Doctor X,8.263513513513514,148
The Hippocratic Crush,8.263157894736842,38
Mask,8.262924667651403,677
Kindaichi Shonen no Jikenbo N,8.262820512820513,78
Kamen Rider Decade,8.2625,40
I Saw The Devil,8.262458471760798,301
Saikou no Rikon Special 2014 ,8.261904761904763,42
Ice World,8.261538461538462,65
She Was Pretty,8.261160714285714,1120
After Life,8.258620689655173,29
38 Task Force,8.25686274509804,255
Don Quixote,8.255494505494505,182
Bunny Drop,8.255043227665706,347
